Timestamp,Target Eye,Velocity (deg/s),Interval Since Prev (s),Status
23:09:15.028,Right Eye,-142.79,0.0617,Normal
23:09:15.028,Left Eye,0.0,0.0617,Normal
23:09:15.090,Right Eye,-186.23,0.0615,Normal
23:09:15.090,Left Eye,-186.23,0.0615,Normal
23:09:15.153,Right Eye,452.24,0.0633,Normal
23:09:15.153,Left Eye,542.69,0.0633,ANOMALY DETECTED
23:09:15.214,Right Eye,-186.47,0.0615,Normal
23:09:15.214,Left Eye,93.23,0.0615,Normal
23:09:15.275,Right Eye,1417.66,0.0606,ANOMALY DETECTED
23:09:15.275,Left Eye,315.04,0.0606,Normal
23:09:15.336,Right Eye,-940.41,0.0609,ANOMALY DETECTED
23:09:15.336,Left Eye,-434.04,0.0609,Normal
23:09:15.398,Right Eye,-927.09,0.0618,ANOMALY DETECTED
23:09:15.398,Left Eye,-231.77,0.0618,Normal
23:09:15.459,Right Eye,0.0,0.0618,Normal
23:09:15.459,Left Eye,371.13,0.0618,Normal
23:09:15.521,Right Eye,0.0,0.0621,Normal
23:09:15.521,Left Eye,-230.84,0.0621,Normal
23:09:15.583,Right Eye,-926.17,0.0619,ANOMALY DETECTED
23:09:15.583,Left Eye,370.47,0.0619,Normal
23:09:15.645,Right Eye,465.42,0.0616,Normal
23:09:15.645,Left Eye,-71.6,0.0616,Normal
23:09:15.707,Right Eye,0.0,0.0618,Normal
23:09:15.707,Left Eye,278.06,0.0618,Normal
23:09:15.769,Right Eye,-925.73,0.0619,ANOMALY DETECTED
23:09:15.769,Left Eye,-185.15,0.0619,Normal
23:09:15.830,Right Eye,0.0,0.061,Normal
23:09:15.830,Left Eye,0.0,0.061,Normal
23:09:15.890,Right Eye,0.0,0.0601,Normal
23:09:15.890,Left Eye,-238.46,0.0601,Normal
23:09:15.952,Right Eye,-914.47,0.0627,ANOMALY DETECTED
23:09:15.952,Left Eye,0.0,0.0627,Normal
23:09:16.014,Right Eye,-0.0,0.0617,Normal
23:09:16.014,Left Eye,371.31,0.0617,Normal
23:09:16.075,Right Eye,933.82,0.0614,ANOMALY DETECTED
23:09:16.075,Left Eye,0.0,0.0614,Normal
23:09:16.137,Right Eye,468.06,0.0612,Normal
23:09:16.137,Left Eye,0.0,0.0612,Normal
23:09:16.198,Right Eye,-927.96,0.0617,ANOMALY DETECTED
23:09:16.198,Left Eye,-71.38,0.0617,Normal
23:09:16.262,Right Eye,0.0,0.0632,Normal
23:09:16.262,Left Eye,272.13,0.0632,Normal
23:09:16.310,Right Eye,-588.46,0.0487,ANOMALY DETECTED
23:09:16.310,Left Eye,-271.6,0.0487,Normal
23:09:16.355,Right Eye,0.0,0.0453,Normal
23:09:16.355,Left Eye,379.79,0.0453,Normal
23:09:16.402,Right Eye,613.71,0.0467,ANOMALY DETECTED
23:09:16.402,Left Eye,-245.48,0.0467,Normal
23:09:16.449,Right Eye,-1233.5,0.0464,ANOMALY DETECTED
